Variable,Label,Mean,Min,Max,StdDev,Valid,Invalid,Variance
numchurh,"HOW MANY R BELONGS TO CHURCH AFFILIATE GROUPS",1.177,1.0,6.0,0.558,447.0,59152.0,0.312
numother,"HOW MANY R BELONGS TO OTHER GROUPS",1.165,1.0,5.0,0.64,97.0,59502.0,0.41
numinfrm,"HOW MANY R BELONGS TO INFORMAL GROUPS",1.348,1.0,5.0,0.751,382.0,59217.0,0.564
yrfrat1,"HOW MANY YRS R BEEN A MEMBER OF FRATERNAL GROUPS1",17.255,0.0,71.0,16.868,94.0,59505.0,284.536
yrfrat2,"HOW MANY YRS R BEEN A MEMBER OF FRATERNAL GROUPS2",15.667,0.0,50.0,13.852,18.0,59581.0,191.882
yrfrat3,"HOW MANY YRS R BEEN A MEMBER OF FRATERNAL GROUPS3",18.667,3.0,44.0,22.143,3.0,59596.0,490.333
yrfrat4,"HOW MANY YRS R BEEN A MEMBER OF FRATERNAL GROUPS4",9.0,9.0,9.0,0.0,1.0,59598.0,0.0
yrserv1,"HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB1",9.279,0.0,52.0,10.148,140.0,59459.0,102.979
yrserv2,"HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB2",7.967,1.0,40.0,8.181,30.0,59569.0,66.93
yrserv3,"HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB3",5.571,1.0,24.0,5.612,14.0,59585.0,31.495
yrserv4,"HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB4",6.5,3.0,10.0,4.95,2.0,59597.0,24.5
yrserv5,"HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB5",18.0,18.0,18.0,0.0,1.0,59598.0,0.0
yrserv6,"HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB6",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
yrserv7,"HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB7",4.0,4.0,4.0,0.0,1.0,59598.0,0.0
yrserv8,"HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB8",31.0,31.0,31.0,0.0,1.0,59598.0,0.0
yrvet1,"HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS1",16.239,0.0,58.0,15.912,71.0,59528.0,253.185
yrvet2,"HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS2",17.333,1.0,40.0,14.534,9.0,59590.0,211.25
yrvet3,"HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS3",9.0,3.0,18.0,7.937,3.0,59596.0,63.0
yrvet4,"HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS4",10.0,10.0,10.0,0.0,1.0,59598.0,0.0
yrvet5,"HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS5",15.0,15.0,15.0,0.0,1.0,59598.0,0.0
yrpolit1,"HOW MANY YEARS R BEEN A MEMBER OF POLITICAL CLUB1",10.0,0.0,50.0,11.319,56.0,59543.0,128.109
yrpolit2,"HOW MANY YEARS R BEEN A MEMBER OF POLITICAL CLUB2",10.0,1.0,30.0,10.61,8.0,59591.0,112.571
yrpolit3,"HOW MANY YEARS R BEEN A MEMBER OF POLITICAL CLUB3",7.25,1.0,20.0,8.617,4.0,59595.0,74.25
yrunion1,"HOW MANY YEARS R BORN A MEMBER OF LABOR UNION1",13.555,0.0,45.0,11.524,137.0,59462.0,132.793
yrunion2,"HOW MANY YEARS R BORN A MEMBER OF LABOR UNION2",15.182,1.0,40.0,13.37,11.0,59588.0,178.764
yrunion3,"HOW MANY YEARS R BORN A MEMBER OF LABOR UNION3",30.0,25.0,35.0,7.071,2.0,59597.0,50.0
yrunion4,"HOW MANY YEARS R BORN A MEMBER OF LABOR UNION4",35.0,35.0,35.0,0.0,1.0,59598.0,0.0
yrsport1,"HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS1",8.975,0.0,50.0,9.758,242.0,59357.0,95.228
yrsport2,"HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS2",7.159,0.0,40.0,8.657,63.0,59536.0,74.942
yrsport3,"HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS3",8.947,1.0,40.0,11.123,19.0,59580.0,123.719
yrsport4,"HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS4",12.0,5.0,25.0,11.269,3.0,59596.0,127.0
yrsport5,"HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS5",0.0,,,0.0,0.0,59599.0,0.0
yrsport6,"HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS6",0.0,,,0.0,0.0,59599.0,0.0
yryouth1,"HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS1",6.403,0.0,50.0,7.432,144.0,59455.0,55.235
yryouth2,"HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS2",5.1,1.0,15.0,4.581,10.0,59589.0,20.989
yryouth3,"HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS3",2.0,1.0,3.0,1.414,2.0,59597.0,2.0
yryouth4,"HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS4",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
yryouth5,"HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS5",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
yrschl1,"HOW MANY YEARS R BORN A MEMBER OF SCHOOL SERVICE GROUP1",5.738,0.0,52.0,7.828,191.0,59408.0,61.278
yrschl2,"HOW MANY YEARS R BORN A MEMBER OF SCHOOL SERVICE GROUP2",5.882,1.0,23.0,5.6,17.0,59582.0,31.36
yrschl3,"HOW MANY YEARS R BORN A MEMBER OF SCHOOL SERVICE GROUP3",1.75,1.0,3.0,0.957,4.0,59595.0,0.917
yrschl4,"HOW MANY YEARS R BORN A MEMBER OF SCHOOL SERVICE GROUP4",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
yrhobby1,"HOW MANY YEARS R BORN A MEMBER OF HOBBY CLUB1",6.607,0.0,50.0,7.876,150.0,59449.0,62.025
yrhobby2,"HOW MANY YEARS R BORN A MEMBER OF HOBBY CLUB1",7.316,1.0,40.0,9.434,19.0,59580.0,89.006
yrhobby3,"HOW MANY YEARS R BORN A MEMBER OF HOBBY CLUB1",4.0,0.0,10.0,4.0,6.0,59593.0,16.0
yrgreek1,"HOW MANY YEARS R BORN A MEMBER OF SCHOOL FRATERNITY1",16.466,0.0,64.0,15.443,58.0,59541.0,238.499
yrgreek2,"HOW MANY YEARS R BORN A MEMBER OF SCHOOL FRATERNITY2",31.5,13.0,50.0,26.163,2.0,59597.0,684.5
yrgreek3,"HOW MANY YEARS R BORN A MEMBER OF SCHOOL FRATERNITY3",0.0,,,0.0,0.0,59599.0,0.0
yrnat1,"HOW MANY YEARS R BORN A MEMBER OF NATIONAL GROUP1",12.444,0.0,40.0,11.216,36.0,59563.0,125.797
yrnat2,"HOW MANY YEARS R BORN A MEMBER OF NATIONAL GROUP2",4.5,4.0,5.0,0.707,2.0,59597.0,0.5
yrnat3,"HOW MANY YEARS R BORN A MEMBER OF NATIONAL GROUP3",0.0,,,0.0,0.0,59599.0,0.0
yrfarm1,"HOW MANY YEARS R BORN A MEMBER OF FARM ORGANIZATION1",12.651,0.0,50.0,11.309,43.0,59556.0,127.899
yrfarm2,"HOW MANY YEARS R BORN A MEMBER OF FARM ORGANIZATION2",17.0,14.0,20.0,4.243,2.0,59597.0,18.0
yrfarm3,"HOW MANY YEARS R BORN A MEMBER OF FARM ORGANIZATION3",20.0,20.0,20.0,0.0,1.0,59598.0,0.0
yrlit1,"HOW MANY YEARS R BORN A MEMBER OF LITERARY GROUP1",6.272,0.0,58.0,8.578,147.0,59452.0,73.583
yrlit2,"HOW MANY YEARS R BORN A MEMBER OF LITERARY GROUP2",6.421,1.0,54.0,12.54,19.0,59580.0,157.257
yrlit3,"HOW MANY YEARS R BORN A MEMBER OF LITERARY GROUP3",2.25,1.0,4.0,1.5,4.0,59595.0,2.25
yrlit4,"HOW MANY YEARS R BORN A MEMBER OF LITERARY GROUP4",2.0,2.0,2.0,0.0,1.0,59598.0,0.0
yrprof1,"HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY1",10.3,0.0,60.0,10.606,207.0,59392.0,112.492
yrprof2,"HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY2",9.507,1.0,43.0,9.222,69.0,59530.0,85.048
yrprof3,"HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY3",8.826,1.0,31.0,7.866,23.0,59576.0,61.877
yrprof4,"HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY4",11.75,2.0,31.0,11.081,8.0,59591.0,122.786
yrprof5,"HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY5",6.75,1.0,18.0,7.632,4.0,59595.0,58.25
yrprof6,"HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY6",0.0,,,0.0,0.0,59599.0,0.0
yrchurh1,"HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP1",10.898,0.0,75.0,13.742,430.0,59169.0,188.843
yrchurh2,"HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP2",9.769,0.0,56.0,11.832,52.0,59547.0,139.985
yrchurh3,"HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP3",11.211,1.0,70.0,17.903,19.0,59580.0,320.509
yrchurh4,"HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP4",12.5,1.0,43.0,20.355,4.0,59595.0,414.333
yrchurh5,"HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP5",43.0,43.0,43.0,0.0,1.0,59598.0,0.0
yrchurh6,"HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP6",43.0,43.0,43.0,0.0,1.0,59598.0,0.0
yrother1,"HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP1",5.141,0.0,40.0,8.402,78.0,59521.0,70.59
yrother2,"HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP2",7.5,1.0,24.0,8.485,8.0,59591.0,72.0
yrother3,"HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP3",10.333,4.0,15.0,5.686,3.0,59596.0,32.333
yrother4,"HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP4",11.0,10.0,12.0,1.414,2.0,59597.0,2.0
yrother5,"HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP5",10.5,1.0,20.0,13.435,2.0,59597.0,180.5
yrinfrm1,"HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP1",6.496,0.0,74.0,9.198,355.0,59244.0,84.601
yrinfrm2,"HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP2",7.847,0.0,60.0,9.823,85.0,59514.0,96.488
yrinfrm3,"HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP3",9.938,0.0,44.0,12.337,32.0,59567.0,152.19
yrinfrm4,"HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP4",15.0,3.0,38.0,12.693,10.0,59589.0,161.111
yrinfrm5,"HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP5",6.5,4.0,10.0,2.646,4.0,59595.0,7.0
mtfrat1,"HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP1",1.198,1.0,2.0,0.401,96.0,59503.0,0.16
mtfrat2,"HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP2",1.167,1.0,2.0,0.383,18.0,59581.0,0.147
mtfrat3,"HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP3",1.0,1.0,1.0,0.0,3.0,59596.0,0.0
mtfrat4,"HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP4",0.0,,,0.0,0.0,59599.0,0.0
mtserv1,"SERVICE CLUB1 MEETS IN THIS AREA",1.165,1.0,2.0,0.373,133.0,59466.0,0.139
mtserv2,"SERVICE CLUB2 MEETS IN THIS AREA",1.2,1.0,2.0,0.407,30.0,59569.0,0.166
mtserv3,"SERVICE CLUB3 MEETS IN THIS AREA",1.071,1.0,2.0,0.267,14.0,59585.0,0.071
mtserv4,"SERVICE CLUB4 MEETS IN THIS AREA",1.5,1.0,2.0,0.707,2.0,59597.0,0.5
mtserv5,"SERVICE CLUB5 MEETS IN THIS AREA",2.0,2.0,2.0,0.0,1.0,59598.0,0.0
mtserv6,"SERVICE CLUB6 MEETS IN THIS AREA",2.0,2.0,2.0,0.0,1.0,59598.0,0.0
mtserv7,"SERVICE CLUB7 MEETS IN THIS AREA",2.0,2.0,2.0,0.0,1.0,59598.0,0.0
mtserv8,"SERVICE CLUB8 MEETS IN THIS AREA",2.0,2.0,2.0,0.0,1.0,59598.0,0.0
mtvet1,"VETERAN GROUP1 MEETS IN THIS AREA",1.25,1.0,2.0,0.436,76.0,59523.0,0.19
mtvet2,"VETERAN GROUP2 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,9.0,59590.0,0.0
mtvet3,"VETERAN GROUP3 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,3.0,59596.0,0.0
mtvet4,"VETERAN GROUP4 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,2.0,59597.0,0.0
mtvet5,"VETERAN GROUP5 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mtpolit1,"POLITICAL CLUB1 MEETS IN THIS AREA",1.288,1.0,2.0,0.457,59.0,59540.0,0.209
mtpolit2,"POLITICAL CLUB2 MEETS IN THIS AREA",1.25,1.0,2.0,0.463,8.0,59591.0,0.214
mtpolit3,"POLITICAL CLUB3 MEETS IN THIS AREA",1.2,1.0,2.0,0.447,5.0,59594.0,0.2
mtunion1,"LABOR UNION1 MEETS IN THIS AREA",1.261,1.0,2.0,0.441,134.0,59465.0,0.194
mtunion2,"LABOR UNION2 MEETS IN THIS AREA",1.222,1.0,2.0,0.441,9.0,59590.0,0.194
mtunion3,"LABOR UNION3 MEETS IN THIS AREA",1.5,1.0,2.0,0.707,2.0,59597.0,0.5
mtunion4,"LABOR UNION4 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mtsport1,"SPORT CLUB1 MEETS IN THIS AREA",1.145,1.0,2.0,0.352,242.0,59357.0,0.124
mtsport2,"SPORT CLUB2 MEETS IN THIS AREA",1.063,1.0,2.0,0.246,63.0,59536.0,0.06
mtsport3,"SPORT CLUB3 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,19.0,59580.0,0.0
mtsport4,"SPORT CLUB4 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,3.0,59596.0,0.0
mtsport5,"SPORT CLUB5 MEETS IN THIS AREA",0.0,,,0.0,0.0,59599.0,0.0
mtsport6,"SPORT CLUB6 MEETS IN THIS AREA",0.0,,,0.0,0.0,59599.0,0.0
mtyouth1,"YOUTH GROUP1 MEETS IN THIS AREA",1.131,1.0,2.0,0.339,145.0,59454.0,0.115
mtyouth2,"YOUTH GROUP2 MEETS IN THIS AREA",1.091,1.0,2.0,0.302,11.0,59588.0,0.091
mtyouth3,"YOUTH GROUP3 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,2.0,59597.0,0.0
mtyouth4,"YOUTH GROUP4 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mtyouth5,"YOUTH GROUP5 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mtschl1,"SCHOOL SERVICE GROUP1 MEETS IN THIS AREA",1.116,1.0,2.0,0.321,199.0,59400.0,0.103
mtschl2,"SCHOOL SERVICE GROUP2 MEETS IN THIS AREA",1.111,1.0,2.0,0.323,18.0,59581.0,0.105
mtschl3,"SCHOOL SERVICE GROUP3 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,4.0,59595.0,0.0
mtschl4,"SCHOOL SERVICE GROUP4 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mthobby1,"HOBBY CLUB1 MEETS IN THIS AREA",1.24,1.0,2.0,0.429,154.0,59445.0,0.184
mthobby2,"HOBBY CLUB2 MEETS IN THIS AREA",1.316,1.0,2.0,0.478,19.0,59580.0,0.228
mthobby3,"HOBBY CLUB3 MEETS IN THIS AREA",1.333,1.0,2.0,0.516,6.0,59593.0,0.267
mtgreek1,"SCHOOL FRARTERNITY1 MEETS IN THIS AREA",1.475,1.0,2.0,0.504,59.0,59540.0,0.254
mtgreek2,"SCHOOL FRARTERNITY2 MEETS IN THIS AREA",2.0,2.0,2.0,0.0,2.0,59597.0,0.0
mtgreek3,"SCHOOL FRARTERNITY3 MEETS IN THIS AREA",0.0,,,0.0,0.0,59599.0,0.0
mtnat1,"NATIONALITY GROUP1 MEETS IN THIS AREA",1.351,1.0,2.0,0.484,37.0,59562.0,0.234
mtnat2,"NATIONALITY GROUP2 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,2.0,59597.0,0.0
mtnat3,"NATIONALITY GROUP3 MEETS IN THIS AREA",0.0,,,0.0,0.0,59599.0,0.0
mtfarm1,"FARM ORGANIZATION1 MEETS IN THIS AREA",1.419,1.0,2.0,0.499,43.0,59556.0,0.249
mtfarm2,"FARM ORGANIZATION2 MEETS IN THIS AREA",1.667,1.0,2.0,0.577,3.0,59596.0,0.333
mtfarm3,"FARM ORGANIZATION3 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mtlit1,"MILITARY GROUP1 MEETS IN THIS AREA",1.201,1.0,2.0,0.402,149.0,59450.0,0.162
mtlit2,"MILITARY GROUP2 MEETS IN THIS AREA",1.158,1.0,2.0,0.375,19.0,59580.0,0.14
mtlit3,"MILITARY GROUP3 MEETS IN THIS AREA",1.5,1.0,2.0,0.577,4.0,59595.0,0.333
mtlit4,"MILITARY GROUP4 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mtprof1,"PROFESSIONAL SOCIETY1 MEETS IN THIS AREA",1.432,1.0,2.0,0.497,213.0,59386.0,0.247
mtprof2,"PROFESSIONAL SOCIETY2 MEETS IN THIS AREA",1.457,1.0,2.0,0.502,70.0,59529.0,0.252
mtprof3,"PROFESSIONAL SOCIETY3 MEETS IN THIS AREA",1.296,1.0,2.0,0.465,27.0,59572.0,0.217
mtprof4,"PROFESSIONAL SOCIETY4 MEETS IN THIS AREA",1.889,1.0,2.0,0.333,9.0,59590.0,0.111
mtprof5,"PROFESSIONAL SOCIETY5 MEETS IN THIS AREA",1.25,1.0,2.0,0.5,4.0,59595.0,0.25
mtprof6,"PROFESSIONAL SOCIETY6 MEETS IN THIS AREA",2.0,2.0,2.0,0.0,1.0,59598.0,0.0
mtchurh1,"CHURCH GROUP1 MEETS IN THIS AREA",1.144,1.0,2.0,0.351,438.0,59161.0,0.123
mtchurh2,"CHURCH GROUP2 MEETS IN THIS AREA",1.115,1.0,2.0,0.323,52.0,59547.0,0.104
mtchurh3,"CHURCH GROUP3 MEETS IN THIS AREA",1.105,1.0,2.0,0.315,19.0,59580.0,0.099
mtchurh4,"CHURCH GROUP4 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,4.0,59595.0,0.0
mtchurh5,"CHURCH GROUP5 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mtchurh6,"CHURCH GROUP6 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,1.0,59598.0,0.0
mtother1,"OTHER GROUP1 MEETS IN THIS AREA",1.458,1.0,2.0,0.501,83.0,59516.0,0.251
mtother2,"OTHER GROUP2 MEETS IN THIS AREA",1.375,1.0,2.0,0.518,8.0,59591.0,0.268
mtother3,"OTHER GROUP3 MEETS IN THIS AREA",1.5,1.0,2.0,0.707,2.0,59597.0,0.5
mtother4,"OTHER GROUP4 MEETS IN THIS AREA",1.5,1.0,2.0,0.707,2.0,59597.0,0.5
mtother5,"OTHER GROUP5 MEETS IN THIS AREA",1.5,1.0,2.0,0.707,2.0,59597.0,0.5
mtinfrm1,"INFORMAL GROUP1 MEETS IN THIS AREA",1.227,1.0,2.0,0.42,365.0,59234.0,0.176
mtinfrm2,"INFORMAL GROUP2 MEETS IN THIS AREA",1.14,1.0,2.0,0.349,86.0,59513.0,0.121
mtinfrm3,"INFORMAL GROUP3 MEETS IN THIS AREA",1.161,1.0,2.0,0.374,31.0,59568.0,0.14
mtinfrm4,"INFORMAL GROUP4 MEETS IN THIS AREA",1.1,1.0,2.0,0.316,10.0,59589.0,0.1
mtinfrm5,"INFORMAL GROUP5 MEETS IN THIS AREA",1.0,1.0,1.0,0.0,4.0,59595.0,0.0
grpboth1,"BOTH BELONG TO THE SAME GROUP ON THE LIST",1.189,1.0,2.0,0.393,106.0,59493.0,0.155
grpboth2,"BOTH BELONG TO THE SAME GROUP ON THE LIST",1.195,1.0,2.0,0.399,82.0,59517.0,0.159
grpboth3,"BOTH BELONG TO THE SAME GROUP ON THE LIST",1.179,1.0,2.0,0.386,56.0,59543.0,0.149
grpboth4,"BOTH BELONG TO THE SAME GROUP ON THE LIST",1.179,1.0,2.0,0.389,39.0,59560.0,0.151
grpboth5,"BOTH BELONG TO THE SAME GROUP ON THE LIST",1.211,1.0,2.0,0.419,19.0,59580.0,0.175
frstmet1,"R FIRST MET THE NAMED ALTER IN THE GROUP",1.721,1.0,2.0,0.451,86.0,59513.0,0.204
frstmet2,"R FIRST MET THE NAMED ALTER IN THE GROUP",1.606,1.0,2.0,0.492,66.0,59533.0,0.242
frstmet3,"R FIRST MET THE NAMED ALTER IN THE GROUP",1.5,1.0,2.0,0.506,46.0,59553.0,0.256
frstmet4,"R FIRST MET THE NAMED ALTER IN THE GROUP",1.75,1.0,2.0,0.44,32.0,59567.0,0.194
frstmet5,"R FIRST MET THE NAMED ALTER IN THE GROUP",1.333,1.0,2.0,0.488,15.0,59584.0,0.238
yrskwn1,"YEARS R HAS KNOWN THE NAMED1",22.454,0.0,83.0,16.76,1063.0,58536.0,280.904
yrskwn2,"YEARS R HAS KNOWN THE NAMED2",23.311,0.0,86.0,17.552,787.0,58812.0,308.087
yrskwn3,"YEARS R HAS KNOWN THE NAMED3",21.962,0.0,83.0,17.647,523.0,59076.0,311.401
yrskwn4,"YEARS R HAS KNOWN THE NAMED4",22.408,0.0,70.0,18.026,292.0,59307.0,324.93
yrskwn5,"YEARS R HAS KNOWN THE NAMED5",21.896,0.0,66.0,16.371,164.0,59435.0,268.008
relneg,"ANY TURNING POINT WHEN LESS COMMITTED TO RELIGION",1.62,1.0,2.0,0.485,5491.0,54108.0,0.236
newsfrom,"MAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS",4.007,1.0,10.0,1.839,5874.0,53725.0,3.383
scifrom,"MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY",3.889,1.0,10.0,1.757,5813.0,53786.0,3.088
seeksci,"PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES",3.621,1.0,11.0,1.559,5782.0,53817.0,2.431
nextgen,"SCIENCE & TECH. GIVE MORE OPPORTUNITIES TO NEXT GENERATION",1.747,1.0,4.0,0.651,6144.0,53455.0,0.424
toofast,"SCIENCE MAKES OUR WAY OF LIFE CHANGE TOO FAST",2.495,1.0,4.0,0.769,6114.0,53485.0,0.591
advfront,"SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT",1.872,1.0,4.0,0.654,6053.0,53546.0,0.427
scispec,"SCIENCE IS TOO CONCERNED WITH THEORY AND SPECULATION",2.681,1.0,4.0,0.761,1724.0,57875.0,0.578
leadsci,"SHLD PAY ATTNTN ONLY TO THEORY ACCEPTED BY LEADING SCIENTISTS",2.504,1.0,4.0,0.718,1750.0,57849.0,0.515
whichsci,"INDUSTRY SCIENTISTS LESS RELIABLE THAN UNIVERSITY SCIENTISTS",2.695,1.0,4.0,0.661,1606.0,57993.0,0.436
astrolgy,"EVER READ A HORSCOPE OR PERSOANL ASTROLOGY REPORT",1.476,1.0,2.0,0.499,6287.0,53312.0,0.249
astrosci,"ASTROLOGY IS SCIENTIFIC",2.582,1.0,3.0,0.608,6065.0,53534.0,0.37
scibnfts,"BENEFITS OF SCI RESEARCH OUTWEIGHT HARMFUL RESULTS",1.353,1.0,3.0,0.644,5819.0,53780.0,0.415
balpos,"SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS",1.333,1.0,2.0,0.471,4222.0,55377.0,0.222
balneg,"SCI RESEARCH IS STRONGLY IN FAVOR OF HARMFUL RESULTS",1.722,1.0,2.0,0.449,532.0,59067.0,0.201
scistudy,"R HAS CLEAR UNDERSTANDING OF SCIENTIFIC STUDY",1.925,1.0,3.0,0.697,6212.0,53387.0,0.486
scitext,"WHAT IT MEANS TO R TO STUDY SCIENFICALLY",4.061,1.0,6.0,1.663,4491.0,55108.0,2.767
expdesgn,"BETTER WAY TO TEST DRUG BTW CONTROL AND NON-CONTROL",1.825,1.0,2.0,0.38,5946.0,53653.0,0.144
exptext,"WHY IS IT BETTER TO TEST DRUG THIS WAY",3.105,1.0,9.0,1.928,6001.0,53598.0,3.716
odds1,"TEST OF KNOWLEDGE ABOUT PROBABLITY1",1.895,1.0,2.0,0.307,5865.0,53734.0,0.094
odds2,"TEST OF KNOWLEDGE ABOUT PROBABLITY2",1.218,1.0,2.0,0.413,5894.0,53705.0,0.17
hotcore,"SCI KNOWLEDGE: THE CENTER OF EARTH IS VERY HOT",1.064,1.0,2.0,0.244,5661.0,53938.0,0.06
radioact,"SCI KNOWLEDGE:ALL  RADIOACTIVITY IS MAN-MADE",1.802,1.0,2.0,0.398,5664.0,53935.0,0.159
boyorgrl,"SCI KNOWLEDGE:FATHER GENE DECIDES SEX OF BABY",1.284,1.0,2.0,0.451,5330.0,54269.0,0.203
lasers,"SCI KNOWLEDGE:LASERS WORK BY FOCUSING SOUND WAVES",1.691,1.0,2.0,0.462,4392.0,55207.0,0.214
electron,"SCI KNOWLEDGE:ELECTRONS ARE SMALLER THAN ATOMS",1.285,1.0,2.0,0.451,4708.0,54891.0,0.204
viruses,"SCI KNOWLEDGE:ANTIVIOTICS KILL VIRUSES AS WELL AS BACTERIA",1.563,1.0,2.0,0.496,6052.0,53547.0,0.246
bigbang,"SCI KNOWLEDGE:THE UNIVERSE BEGAN WITH A HUGE EXPLOSION",1.504,1.0,2.0,0.5,4277.0,55322.0,0.25
condrift,"SCI KNOWLEDGE:THE CONTINENTS HAVE BEEN MOVING",1.105,1.0,2.0,0.307,5773.0,53826.0,0.094
evolved,"SCI KNOWLEDGE:HUMAN BEINGS DEVELOPED FROM ANIMALS",1.48,1.0,2.0,0.5,5238.0,54361.0,0.25
earthsun,"SCI KNOWLEDGE:THE EARTH GOES AROUND THE SUN",1.21,1.0,2.0,0.408,6049.0,53550.0,0.166
solarrev,"SCI KNOWLEDGE:HOW LONG THE EARTH GOES AROUND THE SUN",2.567,1.0,4.0,0.815,4405.0,55194.0,0.664
TOMATOES,"REGULAR TOMATOES NO GENES",1.711,1.0,2.0,0.454,626.0,58973.0,0.206
intrhome,"INTERNET ACCESS IN R'S HOME",1.283,1.0,2.0,0.451,6297.0,53302.0,0.203
coldeg1,"THE HIGHEST DEGREE R HAVE EARNED",2.281,1.0,8.0,1.313,2360.0,57239.0,1.725
majorcol,"THE FIELD OF DEGREE R EARNED",27.522,1.0,80.0,17.944,2448.0,57151.0,321.99
colsci,"R HAS TAKEN ANY COLLEGE-LEVEL SCI COURSE",1.581,1.0,2.0,0.493,6297.0,53302.0,0.244
colscinm,"NUMBER OF COLLEGE-LEVEL SCI COURSES R HAVE TAKEN",6.2,1.0,90.0,8.842,2497.0,57102.0,78.185
